tech,duration,type,bookCount,books
d3,6,jsClient,2,数据可视化实战：使用D3设计交互式图表
dc,6,jsClient,0,无
svg,1,jsClient,0,无
angularJs,2,jsClient,1,用AngularJS开发下一代Web应用
bootstrap,3,jsClient,2,Bootstrap实战-Bootstrap用户手册：设计响应式网站
ace.js,1,jsClient,0,无
pagedown.js,1,jsClient,0,无
underscore.js,1,jsClient,0,无
winjs,1,jsClient,0,无
nodeJs,3,jsServer,2,深入浅出Node.js-Node.js 实战
express,3,jsServer,0,无
createJs,3,jsGame,0,无
Html5MoblieGame,2,jsGame,1,HTML5移动游戏开发高级编程
php,2,server,1,PHP和MySQL Web开发（原书第4版）
thinkPHP,1,server,0,无
微信开发,2,server,2,微信公众平台应用开发实战（第2版）-微信电商，产品这么卖才赚钱
百度F.I.S前端工具框架,1,tool,0,无
android,1,mobile,1,神一样的模仿II-高仿拉手网